filename,num_players,total_bandwidth_used_by_all_players_in_bytes
real_data/bandwidth_experiment_2.txt,2,235212
real_data/bandwidth_experiment_2.txt,3,355143
real_data/bandwidth_experiment_2.txt,4,1887980
real_data/bandwidth_experiment_2.txt,5,3162101
real_data/bandwidth_experiment_2.txt,6,3979497
real_data/bandwidth_experiment_2.txt,7,3335184
real_data/bandwidth_experiment_2.txt,8,6951211
real_data/bandwidth_experiment_2.txt,9,11239603
real_data/bandwidth_experiment_2.txt,10,14778563
real_data/bandwidth_experiment_2.txt,11,16622691
real_data/bandwidth_experiment_2.txt,12,27929572
real_data/bandwidth_experiment_2.txt,13,42175221
real_data/bandwidth_experiment_2.txt,14,49226164
real_data/bandwidth_experiment_2.txt,15,37543660
real_data/bandwidth_experiment_2.txt,16,61004363
real_data/bandwidth_experiment_2.txt,17,79208121
real_data/bandwidth_experiment_2.txt,18,85513632
real_data/bandwidth_experiment_2.txt,19,103931370
real_data/bandwidth_experiment_2.txt,20,147096862
real_data/bandwidth_experiment_4.txt,2,150186
real_data/bandwidth_experiment_4.txt,3,431128
real_data/bandwidth_experiment_4.txt,4,1057794
real_data/bandwidth_experiment_4.txt,5,3509646
real_data/bandwidth_experiment_4.txt,6,5081266
real_data/bandwidth_experiment_4.txt,7,5585183
real_data/bandwidth_experiment_4.txt,8,6784271
real_data/bandwidth_experiment_4.txt,9,13486902
real_data/bandwidth_experiment_4.txt,10,18970813
real_data/bandwidth_experiment_4.txt,11,26720966
real_data/bandwidth_experiment_4.txt,12,32628300
real_data/bandwidth_experiment_4.txt,13,36632167
real_data/bandwidth_experiment_4.txt,14,46306071
real_data/bandwidth_experiment_4.txt,15,53193752
real_data/bandwidth_experiment_4.txt,16,71489627
real_data/bandwidth_experiment_4.txt,17,96131844
real_data/bandwidth_experiment_4.txt,18,81603010
real_data/bandwidth_experiment_4.txt,19,83926142
real_data/bandwidth_experiment_4.txt,20,127823864
real_data/bandwidth_experiment_1.txt,2,554854
real_data/bandwidth_experiment_1.txt,3,630860
real_data/bandwidth_experiment_1.txt,4,1484256
real_data/bandwidth_experiment_1.txt,5,5397109
real_data/bandwidth_experiment_1.txt,6,3665182
real_data/bandwidth_experiment_1.txt,7,6272730
real_data/bandwidth_experiment_1.txt,8,11679150
real_data/bandwidth_experiment_1.txt,9,13433457
real_data/bandwidth_experiment_1.txt,10,18525240
real_data/bandwidth_experiment_1.txt,11,26985868
real_data/bandwidth_experiment_1.txt,12,27772693
real_data/bandwidth_experiment_1.txt,13,39445476
real_data/bandwidth_experiment_1.txt,14,36170682
real_data/bandwidth_experiment_1.txt,15,52747173
real_data/bandwidth_experiment_1.txt,16,49058420
real_data/bandwidth_experiment_1.txt,17,66275363
real_data/bandwidth_experiment_1.txt,18,103827595
real_data/bandwidth_experiment_1.txt,19,128989816
real_data/bandwidth_experiment_1.txt,20,126221427
real_data/bandwidth_experiment_3.txt,2,731636
real_data/bandwidth_experiment_3.txt,3,280184
real_data/bandwidth_experiment_3.txt,4,1534817
real_data/bandwidth_experiment_3.txt,5,4367000
real_data/bandwidth_experiment_3.txt,6,4661832
real_data/bandwidth_experiment_3.txt,7,5211449
real_data/bandwidth_experiment_3.txt,8,8034181
real_data/bandwidth_experiment_3.txt,9,25263211
real_data/bandwidth_experiment_3.txt,10,27547192
real_data/bandwidth_experiment_3.txt,11,23114174
real_data/bandwidth_experiment_3.txt,12,46899145
real_data/bandwidth_experiment_3.txt,13,31170043
real_data/bandwidth_experiment_3.txt,14,49794628
real_data/bandwidth_experiment_3.txt,15,72866685
real_data/bandwidth_experiment_3.txt,16,83804740
real_data/bandwidth_experiment_3.txt,17,81740022
real_data/bandwidth_experiment_3.txt,18,95779215
real_data/bandwidth_experiment_3.txt,19,110056484
real_data/bandwidth_experiment_3.txt,20,166168154
real_data/bandwidth_experiment_5.txt,2,169953
real_data/bandwidth_experiment_5.txt,3,589402
real_data/bandwidth_experiment_5.txt,4,918994
real_data/bandwidth_experiment_5.txt,5,1961520
real_data/bandwidth_experiment_5.txt,6,3540946
real_data/bandwidth_experiment_5.txt,7,5659016
real_data/bandwidth_experiment_5.txt,8,7977062
real_data/bandwidth_experiment_5.txt,9,9570324
real_data/bandwidth_experiment_5.txt,10,16664304
real_data/bandwidth_experiment_5.txt,11,26915128
real_data/bandwidth_experiment_5.txt,12,23453902
real_data/bandwidth_experiment_5.txt,13,42600336
real_data/bandwidth_experiment_5.txt,14,78020980
real_data/bandwidth_experiment_5.txt,15,57783211
real_data/bandwidth_experiment_5.txt,16,76930471
real_data/bandwidth_experiment_5.txt,17,95550105
real_data/bandwidth_experiment_5.txt,18,71489920
real_data/bandwidth_experiment_5.txt,19,116186664
real_data/bandwidth_experiment_5.txt,20,121948371
